Category,Product Name
Germination Media,Cocopith Disc 30 mm
Germination Media,Cocopith Disc 40 mm
Germination Media,Cocopith Disc 50 mm
Germination Media,Cocopith Disc Plain 40 mm
Germination Media,Cocopith Disc Plain 100 mm
Germination Media,Oasis Cube SHT603
Germination Media,Oasis Cube SHT604
Germination Media,Oasis Cube SHT6276
Germination Media,Oasis Plugs 4354
Germination Media,Oasis Plugs 4355
Germination Media,Oasis Plugs 4356
Germination Media,Oasis Plugs 6355
Germination Media,Oasis Block 436
Germination Media,Foam Sheet
Grow Media,Cocopith Block 5 KG Low EC
Grow Media,Cocopith Slab 100×15×12 cm
Grow Media,Cocopith Slab 100×18×15 cm
Grow Media,Cocopith Slab 100×20×11 cm
Grow Media,Coir Sheet
Grow Media,Oasis Microgreen Sheet
Grow Media,LECA Clay Balls 2–8 mm
Grow Media,LECA Clay Balls 8–15 mm
Grow Media,LECA Clay Balls 15–30 mm
Grow Media,Crushed LECA
Grow Media,Pumice Stone 1–2 mm
Grow Media,Pumice Stone 2–4 mm
Grow Media,Pumice Stone 4–8 mm
Grow Media,Pumice Stone 8–12 mm
Grow Media,Pumice Stone 20–50 mm
Grow Media,Vermiculite 2–4 mm
Grow Media,Vermiculite 2–6 mm
Grow Media,Perlite 0.5–4 mm
Grow Media,Perlite 1–7 mm
Grow Media,Red Lava Rock
Grow Media,Cinder 2–4 mm
Grow Media,Cinder 2–8 mm
Grow Media,Peat Moss
Grow Media,MBBR Black Media
Grow Media,MBBR White Media
Grow Media,Natural Coir Fibre
Grow Media,Cocopith Loose
Plant Support Materials,Coir Pots
Plant Support Materials,Disc Hanger
Plant Support Materials,Cone Hanger
Plant Support Materials,Wall Hanger
Plant Support Materials,Nursery Net Pot 2 Inch
Plant Support Materials,Net Pot 2 Inch Regular
Plant Support Materials,Net Pot 2 Inch Premium
Plant Support Materials,Net Pot 2.5 Inch Premium
Plant Support Materials,Net Pot 3 Inch Regular
Plant Support Materials,Net Pot 3 Inch Premium
Plant Support Materials,Net Pot 2×3 Inch Premium
Plant Support Materials,Net Pot 2×4 Inch Premium
Plant Support Materials,Net Pot 10 CM
Plant Support Materials,Net Pot 13 CM
Plant Support Materials,NFT Channel 3.5 Inch
Plant Support Materials,NFT Channel 2 Inch
Plant Support Materials,NFT Channel Openable
Plant Support Materials,NFT Channel Closed Pipe
Plant Support Materials,NFT Channel Trapezoid Pipe
Plant Support Materials,End Caps & Couplers
Plant Support Materials,Gutter 8 Inch
Plant Support Materials,Tower Section 4 Planter
Plant Support Materials,Dutch Bucket
Plant Support Materials,Dutch Bucket Lid
Plant Support Materials,Grow Bags
Plant Support Materials,Nursery Grow Bags
Plant Support Materials,Fabric Grow Bags
Plant Support Materials,Balcony Planter
Plant Support Materials,Trough Grow Bed
Plant Support Materials,Grow Tent
Plant Support Materials,EPS Raft
Plant Support Materials,XPS Raft
Agriculture Trays,Microgreen Tray With Hole
Agriculture Trays,Microgreen Tray Without Hole
Agriculture Trays,Tray With & Without Hole
Agriculture Trays,Microgreen Tray Set
Agriculture Trays,Paddy Tray
Agriculture Trays,Hydroponic Tray 18×12×3
Agriculture Trays,Hydroponic Tray 24×16×3
Agriculture Trays,Hydroponic Tray 24×18×3
Agriculture Trays,Hydroponic Tray 28×18×3
Agriculture Trays,Germination Tray
Agriculture Trays,Seedling Tray 40 Cavity
Agriculture Trays,Seedling Tray 102 Cavity
Agriculture Trays,Fodder Tray Small
Agriculture Trays,Fodder Tray Large
Agriculture Trays,DWC Tray Small
Agriculture Trays,DWC Tray Medium
Agriculture Trays,DWC Tray Large
Tanks & Reservoirs,Loft Tank
Tanks & Reservoirs,Round Chemical Tank
Tanks & Reservoirs,Pail Bucket
Tanks & Reservoirs,Rectangular Reservoir With Lid
Tanks & Reservoirs,Square Reservoir With Lid
Tanks & Reservoirs,Fish Tank
Tanks & Reservoirs,Open Top Drum 10 Ltr
Tanks & Reservoirs,Open Top Drum 18 Ltr
Tanks & Reservoirs,Open Top Drum 30 Ltr
Tanks & Reservoirs,Open Top Drum 60 Ltr
Pumps & Irrigation,Submersible Pump 1000 LPH
Pumps & Irrigation,Submersible Pump 1500 LPH
Pumps & Irrigation,Submersible Pump 2500 LPH
Pumps & Irrigation,Submersible Pump 3000 LPH
Pumps & Irrigation,Submersible Pump 3500 LPH
Pumps & Irrigation,HQB Series Pump
Pumps & Irrigation,Air Pump Small
Pumps & Irrigation,Air Pump HQB Series
Pumps & Irrigation,Air Pump ACO Series
Pumps & Irrigation,Filter Bags
Pumps & Irrigation,Air Stones
Pumps & Irrigation,Air Tubes
Pumps & Irrigation,Non Return Valve
Pumps & Irrigation,Screen Filter
Pumps & Irrigation,Air Release Valve
Pumps & Irrigation,Connector Tee 4 mm
Pumps & Irrigation,Micro Tube End Plug
Pumps & Irrigation,Barbed Coupling
Pumps & Irrigation,Barbed Adapter
Pumps & Irrigation,Lateral Valve
Pumps & Irrigation,Threaded Lateral Valve
Pumps & Irrigation,Micro Tubes
Pumps & Irrigation,RO Tube
Pumps & Irrigation,16 mm Lateral Tube
Pumps & Irrigation,Grommets
Pumps & Irrigation,16 mm Barbed Joiner
Pumps & Irrigation,16 mm Barbed Elbow
Pumps & Irrigation,16 mm Barbed Tee
Pumps & Irrigation,16 mm End Cap
Pumps & Irrigation,Punch Tool
Pumps & Irrigation,Branch Adapter
Pumps & Irrigation,Arrow Dripper
Pumps & Irrigation,Drip Peg
Pumps & Irrigation,Online Dripper
Pumps & Irrigation,ST Connector
Pumps & Irrigation,ST Valve
Pumps & Irrigation,FTH Bushing
Pumps & Irrigation,Threaded Tee
Pumps & Irrigation,Threaded Elbow
